Molecule ChEMBL ID,Smiles,pChEMBL Value
CHEMBL1592376,COc1ccc2[nH]cc(CCNc3cc(-c4ccc(C(=O)N(C)C)cc4)ncn3)c2c1,5.2
CHEMBL1400169,COC(=O)c1ccc(C23CC4(C2)[C@@H](c2ccccc2)N(Cc2cccnc2)C[C@@H]4C3c2ccc(Cl)nc2)cc1,5.4
CHEMBL1489212,CC1N(P(=O)(c2ccccc2)c2ccccc2)CC(O)(c2ccccc2)CC12CC2,6.3
CHEMBL1592323,COC(=O)c1ccc(C(NC(=O)OCc2ccccc2)/C(=C/[C@@H](C)C(=O)NCCc2c[nH]c3ccccc23)c2cccnc2)cc1,5.8
CHEMBL1396778,CCN(CC)CCCn1c(-c2ccccc2)nc2c(NCc3ccccc3)nc(C)nc21,5
CHEMBL1410926,COc1ncc2nc(-c3cn(C)c4ccccc34)c(=O)n(Cc3ccc(F)cc3)c2n1,5.2
CHEMBL1329455,CCOC(=O)[N-]c1c[n+](N2CCOCC2)no1,5.9
CHEMBL1489589,CN(C)c1ncc2nc(-c3cccs3)c(=O)n(C[C@H]3CCCO3)c2n1,4.6
CHEMBL1475255,CN(C)c1ccc(-c2nc(-n3ccnc3)c3ccccc3n2)cc1,6.2
CHEMBL1626,CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1,5
CHEMBL62919,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=S)[nH]c3ccccc3c2=O)CC1,4.9
CHEMBL381568,COc1ccccc1COCCCOc1ccc(N2C(=O)CNC[C@@H]2COc2ccc3c(c2)N(CCN2CCOC2=O)CCC3)cc1,
CHEMBL2181896,C#Cc1cccc(C[C@H](NC(=O)COC)[C@H](O)CN[C@H]2CC3(CCC3)Oc3ncc(CC(C)(C)C)cc32)c1,7.52
CHEMBL2181894,COCC(=O)N[C@@H](Cc1cccc(-c2cscn2)c1)[C@H](O)CN[C@H]1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,7
CHEMBL2181890,COCC(=O)N[C@@H](Cc1cccc(-c2ncco2)c1)[C@H](O)CN[C@H]1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,7
CHEMBL3311221,OC(Cn1cnnn1)(c1ccc(F)cc1F)C(F)(F)c1ccc(OCC(F)(F)F)cn1,4.14
CHEMBL1269894,NC(=O)[C@]12CC3CC(C1)[C@@H](OC(=O)N1CC[C@H](Nc4ccc(C(F)(F)F)cn4)C1)C(C3)C2,4.99
CHEMBL1270110,N#Cc1ccc(N[C@H]2CCN(C(=O)O[C@H]3C4CC5CC3C[C@](C(N)=O)(C5)C4)C2)nc1,4.58
CHEMBL360055,CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC,
CHEMBL1446314,C=CCNc1nc(Cl)nc(Nc2ccc(OC)cc2)n1,4.85
CHEMBL1437428,CC(C)=C[C@H]1[C@@H](COC(=O)c2ccccc2Cl)C1(C)C,
CHEMBL1725938,CSc1nc(C)c2c(n1)N(c1ccc(C(F)(F)F)cc1)CC2,
CHEMBL1601555,CN1CCN(c2ccc([N+](=O)[O-])cc2S(=O)(=O)N2CCOCC2)CC1,
CHEMBL1587753,COc1c(N2CCN(C(S)=Nc3ccc(F)cc3)C(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,
CHEMBL1334482,O=C(O)c1ccc(OCc2ccccc2)c(Cl)c1,
CHEMBL1596246,Cn1c(=O)c(-c2ccccc2)nc2cnc(Oc3ccccc3)nc21,
CHEMBL1482243,O=C(/C=C/c1ccc(Br)cc1)NC1CCCCCC1,
CHEMBL1598717,COC(=O)[C@@]1(Cc2ccc(OC)cc2)[C@H]2c3cc(C(=O)N(C)C)n(Cc4cccc5ccccc45)c3C[C@H]2CN1C(=O)c1ccccc1,5.6
CHEMBL1590855,Cc1cccc(CNc2cc(-c3ccc(N(C)C)cc3)ncn2)c1,5.2
CHEMBL1741841,CCCN(CCC)CCCNS(=O)(=O)c1cc(Br)cc2c1N(C(C)=O)CC2,
CHEMBL1393348,CCOC(=O)Cc1csc(NC(=O)c2c(-c3c(Cl)cccc3Cl)noc2C)n1,
CHEMBL1403488,O=c1c(-c2cccs2)nc2cnc(N3CCNCC3)nc2n1Cc1cccs1,5.6
CHEMBL1533734,CNc1cc(-c2c(C)noc2C)ncn1,
CHEMBL1330954,Cc1ccc(S(=O)(=O)NNc2ccccc2)cc1,4.55
CHEMBL1408874,CC(=O)c1cc(NC(=O)c2ccccc2)c(=O)oc1/C=C/N(C)C,4.6
CHEMBL1358390,CN(C)CCNCCN,
CHEMBL242011,O=C1OC[C@H](Cc2ccc3c(c2)OCO3)[C@H]1Cc1ccc2c(c1)OCO2,6.43
CHEMBL517449,CC1(C)O[C@H]2CC(=O)OC[C@@]23[C@H]1CC(=O)[C@]1(C)[C@@H]3CC[C@@]2(C)[C@H](c3ccoc3)OC(=O)[C@H]3O[C@]321,
CHEMBL23,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,5.66
CHEMBL1317056,COC(=O)[C@@]1(Cc2ccc(OC)cc2)[C@H]2c3cc(C(=O)N4CCCC4)n(Cc4ccccn4)c3C[C@H]2CN1C(=O)c1ccccc1,5.9
CHEMBL1594473,CCc1cccc(CC)c1NC(=O)/C(=C/c1ccccc1)c1ccccc1,4.85
CHEMBL1329438,COc1ccc(CCN(C)CCc2ccc(OC)c(OC)c2)cc1OC,5
CHEMBL1605510,CCNc1ncc2nc(-c3cc(F)cc(F)c3)c(=O)n(-c3ccc(OC)cc3)c2n1,5
CHEMBL1553819,Oc1ccc2c3c1O[C@H]1c4oc5ccccc5c4C[C@]4(O)[C@H](C2)N(CC2CC2)CC[C@@]314,4.7
CHEMBL1371824,Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)Nc1ccc2c(c1)OCO2,6
CHEMBL1592500,Cc1ccc(S(=O)(=O)OC[C@@H]2CN3[C@@H](CC[C@@H](C)[C@H]3c3ccc(Br)cc3)C(=O)O2)cc1,5.4
CHEMBL1576725,Fc1cc2nc(-c3ccncc3)[nH]c2cc1F,5.85
CHEMBL1724774,COc1ccc([N+](=O)[O-])cc1NC1C2CC3CC(C2)CC1C3,4.95
CHEMBL1433930,C[C@@H]1C[C@@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@]3(F)[C@@H](O)C[C@]2(C)[C@]1(CC(=O)CO)C(=O)SCF,5.8
CHEMBL521971,COc1ccc(CNc2ncncc2-c2cccc(NS(C)(=O)=O)c2)c(OC)c1,6.6
CHEMBL1536604,CCOC(=O)N1CCN(Cc2nc3c(c(=O)[nH]c(=O)n3C)n2Cc2ccccc2C)CC1,5.4
CHEMBL1543084,COc1ccc(N(C(=O)COc2ccccc2OC)S(=O)(=O)c2ccc(C)cc2)cc1,4.6
CHEMBL1492493,CC(=O)NCCn1c(SCc2ccc(C)cc2)nc2ccccc2c1=O,4.85
CHEMBL51483,Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O,4.5
CHEMBL1460362,O=S(=O)(Nc1ccc2c(c1)OCCO2)c1cccc2cccnc12,4.8
CHEMBL1327793,Cl/C(=N\c1cccc2ccccc12)N(c1ccccc1)c1ccccc1,5.4
CHEMBL1473612,Cc1nc(/N=N\c2ccc(S(=O)(=O)[O-])cc2S(=O)(=O)[O-])c(COP(=O)([O-])[O-])c(C=O)c1O.[Na+].[Na+].[Na+].[Na+],
